image,species,individual_id
0007c33415ce37.jpg,false_killer_whale,60008f293a2b
0007d9bca26a99.jpg,bottlenose_dolphin,4b00fe572063
000a8f2d5c316a.jpg,bottlenose_dolphin,b9907151f66e
001001f099519f.jpg,minke_whale,19fbb960f07d
00103cbe9d25ce.jpg,fin_whale,180c0ab04dcd
00144776eb476d.jpg,bottlenose_dolphin,b9907151f66e
00177f3c614d1e.jpg,bottlenose_dolphin,812be36c2aef
0017b3749cd769.jpg,bottlenose_dolphin,445270d9ad52
0022bdb8eb5684.jpg,humpback_whale,35f898e6595e
0024057bbc89a4.jpg,minke_whale,114207cab555
0028f6fa123686.jpg,bottlenose_dolphin,956562ff2888
0039599b58fc80.jpg,bottlenose_dolphin,e69d5f9f8d1e
0046ceef89b3fc.jpg,minke_whale,37c7aba965a5
004797c1c43563.jpg,false_killer_whale,07a477b6a091
0049b56a584eb1.jpg,bottlenose_dolphin,e69d5f9f8d1e
004a923b0b401e.jpg,minke_whale,ce6e37904aa4
005e53b1b6aada.jpg,minke_whale,37c7aba965a5
00621ef445e09f.jpg,bottlenose_dolphin,f195c38bcf17
006b2548d360a6.jpg,beluga,06ef73efe924
006f1f7c9ea3c2.jpg,bottlenose_dolphin,812be36c2aef
006fc52f81ab7d.jpg,bottlenose_dolphin,73e13d5e4ada
0070b4e405cd8d.jpg,bottlenose_dolphin,9f3613b5c45b
0074ad8c5e4a13.jpg,bottlenose_dolphin,cc0e0b020a90
0081186855e29a.jpg,beluga,7593d2aee842
00813a03e678c3.jpg,bottlenose_dolphin,15d96d5d42c2
009b6593ccc800.jpg,minke_whale,4d18b20adff3
00b7e608440f77.jpg,bottlenose_dolphin,812be36c2aef
00cb904cf19b86.jpg,bottlenose_dolphin,5f48c2296a0e
00ce336ef6b8b5.jpg,humpback_whale,35f898e6595e
00d0927689a7a2.jpg,humpback_whale,6a6fa3ec3810
00d0f38d99c221.jpg,bottlenose_dolphin,4b8534134eb8
00e130666ba6e6.jpg,humpback_whale,938b7e931166
00e3258f41806c.jpg,bottlenose_dolphin,735496dc7e64
00e67227918b41.jpg,bottlenose_dolphin,6bf9810d3632
00e82b4e0691e1.jpg,bottlenose_dolphin,0e4660baf3f1
00f0f055d749fa.jpg,bottlenose_dolphin,208b91b1ca2b
00f286edc2e6bb.jpg,humpback_whale,7362d7a01d00
00f3e4528e819e.jpg,fin_whale,180c0ab04dcd
00fa57e4793b90.jpg,humpback_whale,10e758eb503a
00fb7dd2e41765.jpg,bottlenose_dolphin,02da0e68dccd
00fd2ba8c057e3.jpg,bottlenose_dolphin,7053d3c812b5
0106d276033b78.jpg,minke_whale,37c7aba965a5
01086bfef670be.jpg,false_killer_whale,bf2e0d964354
01091adf08fe11.jpg,bottlenose_dolphin,15d96d5d42c2
010c211438b04b.jpg,gray_whale,fc0f7c162cc0
011d24b8b00f84.jpg,bottlenose_dolphin,ca886e0b34a3
011f36f5e0b772.jpg,bottlenose_dolphin,65115a5e60a4
01241e2d4a6abd.jpg,bottlenose_dolphin,1191a41ee0f4
01492ef72f6b48.jpg,bottlenose_dolphin,9e89f8e28807
014ba64e8ce8ec.jpg,minke_whale,37c7aba965a5
01593ab001b56a.jpg,bottlenose_dolphin,136b6c84830f
015e9cc83e2b7f.jpg,humpback_whale,35f898e6595e
01637f0b588ed8.jpg,minke_whale,37c7aba965a5
0164d8fd7a7cfe.jpg,minke_whale,19fbb960f07d
0165012ef21b28.jpg,beluga,dba4e482f0ad
0167aca06ff1c2.jpg,bottlenose_dolphin,5bf17305f073
0170c7b65aa8ee.jpg,false_killer_whale,2fdb3a09dc9c
017583ffadc434.jpg,bottlenose_dolphin,599bf01ce321
0191b5c7854c24.jpg,humpback_whale,7362d7a01d00
019cec049e2d63.jpg,gray_whale,fc0f7c162cc0
019e943e277f9d.jpg,minke_whale,37c7aba965a5
01a3aeb3ceb649.jpg,gray_whale,fc0f7c162cc0
01be6bc2fad6fc.jpg,common_dolphin,abbeba14a290
01cae4f5a7cb36.jpg,bottlenose_dolphin,65115a5e60a4
01d05c312c7c3e.jpg,bottlenose_dolphin,77410a623426
01de8ec0729b75.jpg,bottlenose_dolphin,208b91b1ca2b
01e290442ac7b2.jpg,bottlenose_dolphin,c27db73f0e3b
01e775c518a824.jpg,minke_whale,19fbb960f07d
01ee6a6c231fa5.jpg,bottlenose_dolphin,5bf17305f073
01f1ccbf40feae.jpg,bottlenose_dolphin,599bf01ce321
0202499d0f213c.jpg,bottlenose_dolphin,281504409737
020d398390a6c8.jpg,beluga,8deb2171580e
020dd63f06e595.jpg,bottlenose_dolphin,208b91b1ca2b
0215acb9628fc3.jpg,beluga,06ef73efe924
02230215614250.jpg,bottlenose_dolphin,281504409737
02271957ede4ce.jpg,bottlenose_dolphin,e69d5f9f8d1e
02278d7a7d207e.jpg,minke_whale,19fbb960f07d
022cb725f51c9a.jpg,bottlenose_dolphin,8591d4f7b038
023099ebf6f825.jpg,bottlenose_dolphin,b54c1f8df53f
0232ad302054e0.jpg,bottlenose_dolphin,480677e8cf20
0233b581abddc4.jpg,bottlenose_dolphin,778419da2957
02700a02f20fb3.jpg,bottlenose_dolphin,ca886e0b34a3
02738f43a46f93.jpg,bottlenose_dolphin,7a58308da755
02740665e67443.jpg,minke_whale,37c7aba965a5
02752f066c6ba0.jpg,bottlenose_dolphin,7053d3c812b5
0277efcf4294b9.jpg,minke_whale,37c7aba965a5
0281724b5e14da.jpg,bottlenose_dolphin,a7310896653d
028aaf2c0fbeb0.jpg,false_killer_whale,b90d49ab0905
028c56e76c63bb.jpg,bottlenose_dolphin,a45625e2e634
028f2ffc9c2dfa.jpg,humpback_whale,6a3af6e0c55c
028fafcac0a36c.jpg,minke_whale,37c7aba965a5
02a6ca2bcd1b46.jpg,bottlenose_dolphin,4b8534134eb8
02b5705d2cece6.jpg,bottlenose_dolphin,f195c38bcf17
